recordid				Tax_id				g_id				gname				name1				Nucleotide sequence				Protein sequence				Protein Structures				Temperature class				Growth Temperature				Optimal Growth Temperature
526				1528				1730				Eubacterium				Eubacterium barkeri				2				9				0				mesophilic								37¢XC
527				1534				1485				Clostridium				Clostridium kluyveri				3				14				0				mesophilic				35¢XC				37¢XC
528				1542				1485				Clostridium				Clostridium novyi				24				14				0				thermophilic				45¢XC				>=37¢XC
529				1553				1485				Clostridium				Clostridium tetanomorphum				7				32				5				mesophilic								37¢XC
530				1556				1485				Clostridium				Clostridium acidurici				2				8				3				mesophilic								19C~37¢XC
531				1557				1485				Clostridium				Clostridium litorale				2				13				0				mesophilic								28¢XC
532				1571				1569				Sporosarcina				Sporosarcina ureae				8				11				0				mesophilic								26¢XC
533				1575				110932				Leifsonia				Leifsonia xyli				18				3				0												
534				1579				1578				Lactobacillus				Lactobacillus acidophilus				75				140				0				thermophilic				45¢XC				
535				1580				1578				Lactobacillus				Lactobacillus brevis				268				48				2				psychrophilic								15¢XC
536				1582				1578				Lactobacillus				Lactobacillus casei				183				278				55				psychrophilic				15¢XC				
537				1583				46255				Weissella				Weissella confusa				23				11				1				mesophilic								26¢XC
538				1584				1578				Lactobacillus				Lactobacillus delbrueckii				88				97				1				thermophilic								45¢XC
539				1587				1578				Lactobacillus				Lactobacillus helveticus				117				230				6				thermophilic								45¢XC
540				1588				1578				Lactobacillus				Lactobacillus hilgardii				14				28				0				mesophilic								26¢XC
541				1589				1578				Lactobacillus				Lactobacillus pentosus				29				40				1				mesophilic								37¢XC
542				1590				1578				Lactobacillus				Lactobacillus plantarum				240				692				5				psychrophilic								15¢XC
543				1591				1578				Lactobacillus				Lactobacillus sp.				23				40				5												
544				1593				1578				Lactobacillus				Lactobacillus sp. 30A				2				17				3												
545				1596				1578				Lactobacillus				Lactobacillus gasseri				163				1714				0				thermophilic				45¢XC				
546				1597				1578				Lactobacillus				Lactobacillus paracasei				26				21				0				mesophilic								30¢XC
547				1598				1578				Lactobacillus				Lactobacillus reuteri				168				139				0				thermophilic				45¢XC				
548				1599				1578				Lactobacillus				Lactobacillus sakei				114				337				3												
549				1613				1578				Lactobacillus				Lactobacillus fermentum				65				97				0				thermophilic								45¢XC
550				1624				1578				Lactobacillus				Lactobacillus salivarius				15				3				0				mesophilic								37¢XC
551				1625				1578				Lactobacillus				Lactobacillus sanfranciscensis				18				17				0				mesophilic								30¢XC
552				1633				1578				Lactobacillus				Lactobacillus vaginalis				14				1				0												
553				1638				1637				Listeria				Listeria ivanovii				55				87				0				mesophilic				30C~37¢XC				
554				1639				1637				Listeria				Listeria monocytogenes				2372				8427				14				mesophilic								37¢XC
555				1640				1637				Listeria				Listeria seeligeri				51				92				0				mesophilic								37¢XC
556				1641				1637				Listeria				Listeria grayi				21				17				0				mesophilic				30C~37¢XC				37¢XC
557				1642				1637				Listeria				Listeria innocua				1332				6621				1				mesophilic				20C~25¢XC				
558				1643				1637				Listeria				Listeria welshimeri				27				33				0				mesophilic								37¢XC
559				1646				1645				Renibacterium				Renibacterium salmoninarum				115				49				0				psychrophilic				15C~18¢XC				
560				1648				1647				Erysipelothrix				Erysipelothrix rhusiopathiae				36				28				0				mesophilic				30C~37¢XC				
561				1655				1654				Actinomyces				Actinomyces naeslundii				35				39				0				mesophilic								30C~36¢XC
562				1656				1654				Actinomyces				Actinomyces viscosus				15				13				0				mesophilic								30C~36¢XC
563				1659				1654				Actinomyces				Actinomyces israelii				20				0				0				mesophilic								30C~36¢XC
564				1660				1654				Actinomyces				Actinomyces odontolyticus				13				0				0				mesophilic								36¢XC
565				1661				28263				Arcanobacterium				Arcanobacterium pyogenes				21				45				0				mesophilic								37¢XC
566				1665				1663				Arthrobacter				Arthrobacter globiformis				45				84				20				mesophilic								26¢XC
567				1667				1663				Arthrobacter				Arthrobacter sp.				102				88				6												
568				1669				1663				Arthrobacter				Arthrobacter sp. NRRL B3728				0				36				17												
569				1671				1663				Arthrobacter				Arthrobacter oxydans				15				14				0				mesophilic								26¢XC
570				1679				1678				Bifidobacterium				Bifidobacterium longum				26				5				0				mesophilic								37C~41¢XC
571				1680				1678				Bifidobacterium				Bifidobacterium adolescentis				30				22				1				mesophilic								37¢XC
572				1681				1678				Bifidobacterium				Bifidobacterium bifidum				27				18				0				mesophilic								37¢XC
573				1682				1678				Bifidobacterium				Bifidobacterium infantis				47				33				0				mesophilic								37¢XC
574				1685				1678				Bifidobacterium				Bifidobacterium breve				52				39				0				mesophilic								37¢XC
575				1697				1716				Corynebacterium				Corynebacterium ammoniagenes				60				94				5				mesophilic								30¢XC
576				1703				1696				Brevibacterium				Brevibacterium linens				60				48				0				mesophilic				20C~25¢XC				
577				1708				1707				Cellulomonas				Cellulomonas fimi				32				68				21				mesophilic				30¢XC				
578				1710				157920				Cellulosimicrobium				Cellulosimicrobium cellulans				21				13				0				mesophilic								26¢XC
579				1717				1716				Corynebacterium				Corynebacterium diphtheriae				63				2470				25				mesophilic				30C~37¢XC				
580				1718				1716				Corynebacterium				Corynebacterium glutamicum				6984				3926				4				mesophilic				25C~37¢XC				42¢XC
581				1719				1716				Corynebacterium				Corynebacterium pseudotuberculosis				248				17				0				mesophilic								37¢XC
582				1720				1716				Corynebacterium				Corynebacterium sp.				34				35				3												
583				1725				1716				Corynebacterium				Corynebacterium xerosis				19				0				0				mesophilic								22C~37¢XC
584				1731				1730				Eubacterium				Eubacterium acidaminophilum				13				116				0				mesophilic								30¢XC
585				1744				1743				Propionibacterium				Propionibacterium freudenreichii				43				27				0				mesophilic				30C~32¢XC				
586				1747				1743				Propionibacterium				Propionibacterium acnes				368				17				0				mesophilic				30C~32¢XC				37¢XC
587				1748				1743				Propionibacterium				Propionibacterium acidipropionici				13				14				0				mesophilic				30C~32¢XC				37¢XC
588				1749				1743				Propionibacterium				Propionibacterium jensenii				9				23				0				mesophilic								30¢XC
589				1757				1754				Thermoanaerobacter				Thermoanaerobacter ethanolicus				18				35				0				thermophilic				69¢XC				35C~78¢XC
590				1764				1763				Mycobacterium				Mycobacterium avium				524				398				0				mesophilic								42¢XC
591				1765				1763				Mycobacterium				Mycobacterium bovis				219				1298				5												
592				1766				1763				Mycobacterium				Mycobacterium fortuitum				110				99				1				mesophilic								37¢XC
593				1767				1763				Mycobacterium				Mycobacterium intracellulare				173				107				0				mesophilic								22C~25¢XC
594				1768				1763				Mycobacterium				Mycobacterium kansasii				155				71				0				mesophilic				37¢XC				
595				1769				1763				Mycobacterium				Mycobacterium leprae				256				6028				2				mesophilic				37¢XC				
596				1771				1763				Mycobacterium				Mycobacterium phlei				41				24				0				mesophilic								37¢XC
597				1772				1763				Mycobacterium				Mycobacterium smegmatis				299				501				6				mesophilic								37¢XC
598				1773				1763				Mycobacterium				Mycobacterium tuberculosis				3304				5783				146				mesophilic								37¢XC
599				1774				1763				Mycobacterium				Mycobacterium chelonae				79				40				0				mesophilic								22C~40¢XC
600				1776				1763				Mycobacterium				Mycobacterium flavescens				31				15				0				mesophilic								25C~42¢XC
601				1777				1763				Mycobacterium				Mycobacterium gastri				47				32				0				mesophilic								25C~40¢XC
602				1778				1763				Mycobacterium				Mycobacterium gordonae				131				65				0				mesophilic				35¢XC				
603				1780				1763				Mycobacterium				Mycobacterium malmoense				47				19				0				mesophilic								37¢XC
604				1781				1763				Mycobacterium				Mycobacterium marinum				116				71				0				mesophilic				33¢XC				25C~35¢XC
605				1782				1763				Mycobacterium				Mycobacterium nonchromogenicum				26				12				0				mesophilic								37¢XC
606				1783				1763				Mycobacterium				Mycobacterium scrofulaceum				63				30				0				mesophilic				35¢XC				37¢XC
607				1784				1763				Mycobacterium				Mycobacterium simiae				72				29				0				mesophilic								37¢XC
608				1785				1763				Mycobacterium				Mycobacterium sp.				123				5				0												
609				1787				1763				Mycobacterium				Mycobacterium szulgai				60				24				0				mesophilic								37¢XC
610				1788				1763				Mycobacterium				Mycobacterium terrae				50				13				0												
611				1789				1763				Mycobacterium				Mycobacterium xenopi				96				40				1				thermophilic								40C~45¢XC
612				1790				1763				Mycobacterium				Mycobacterium asiaticum				30				13				0				mesophilic								37¢XC
613				1791				1763				Mycobacterium				Mycobacterium aurum				19				18				0				mesophilic								25C~37¢XC
614				1792				1763				Mycobacterium				Mycobacterium chitae				32				9				0				mesophilic								25C~37¢XC
615				1806				1763				Mycobacterium				Mycobacterium microti				35				13				0				mesophilic				37¢XC				
616				1809				1763				Mycobacterium				Mycobacterium ulcerans				92				151				0				mesophilic				33¢XC				30C~33¢XC
617				1810				1763				Mycobacterium				Mycobacterium vaccae				92				9				0				mesophilic								10C~37¢XC
618				1814				1813				Amycolatopsis				Amycolatopsis methanolica				11				52				0												
619				1824				1817				Nocardia				Nocardia asteroides				55				11				0				mesophilic								37¢XC
620				1828				1827				Rhodococcus				Rhodococcus fascians				80				115				0				mesophilic								10C~40¢XC
621				1829				1827				Rhodococcus				Rhodococcus rhodochrous				74				99				0				mesophilic								10C~40¢XC
622				1830				1827				Rhodococcus				Rhodococcus ruber				46				58				0				mesophilic								40¢XC
623				1831				1827				Rhodococcus				Rhodococcus sp.				81				119				10												
624				1833				1827				Rhodococcus				Rhodococcus erythropolis				231				802				6				mesophilic								10C~40¢XC
625				1836				1835				Saccharopolyspora				Saccharopolyspora erythraea				91				221				11				mesophilic								20C~42¢XC
626				1837				1835				Saccharopolyspora				Saccharopolyspora hirsuta				6				16				0				mesophilic								37¢XC
627				1841				1839				Nocardioides				Nocardioides albus				43				0				0				mesophilic				28¢XC				15C~37¢XC
628				1852				1851				Saccharomonospora				Saccharomonospora viridis				23				0				0												
629				1855				1854				Frankia				Frankia sp.				246				50				0												
630				1856				1854				Frankia				Frankia sp. CpI1				2				40				0												
631				1858				1854				Frankia				Frankia sp. ArI3				2				18				0												
632				1859				1854				Frankia				Frankia alni				25				41				0												
633				1866				1865				Actinoplanes				Actinoplanes missouriensis				6				70				14				mesophilic								26¢XC
634				1869				1865				Actinoplanes				Actinoplanes utahensis				12				4				0												
635				1871				1865				Actinoplanes				Actinoplanes sp.				36				1				0												
636				1877				1873				Micromonospora				Micromonospora echinospora				26				143				0				mesophilic				27C~37¢XC				26¢XC
637				1880				1873				Micromonospora				Micromonospora olivasterospora				7				18				0				mesophilic								26¢XC
638				1886				1883				Streptomyces				Streptomyces albidoflavus				28				3				0												
639				1887				1883				Streptomyces				Streptomyces albogriseolus				13				17				2				mesophilic								26¢XC
640				1888				1883				Streptomyces				Streptomyces albus				22				45				1				thermophilic								45¢XC
641				1889				1883				Streptomyces				Streptomyces ambofaciens				113				173				0				mesophilic								26¢XC
642				1890				1883				Streptomyces				Streptomyces antibioticus				47				221				2				thermophilic								45¢XC
643				1892				1883				Streptomyces				Streptomyces anulatus				7				21				0				psychrophilic				4¢XC				4¢XC
644				1894				1883				Streptomyces				Streptomyces aureofaciens				56				191				27				thermophilic								45¢XC
645				1895				1883				Streptomyces				Streptomyces avidinii				23				308				108												
646				1896				1883				Streptomyces				Streptomyces bikiniensis				7				11				0				mesophilic								26¢XC
647				1898				1883				Streptomyces				Streptomyces cacaoi				5				30				0				mesophilic								26¢XC
648				1899				1883				Streptomyces				Streptomyces chrysomallus				13				28				0				mesophilic								26¢XC
649				1900				1883				Streptomyces				Streptomyces cinnamonensis				18				79				0				mesophilic								26¢XC
650				1901				1883				Streptomyces				Streptomyces clavuligerus				108				351				28												
651				1902				1883				Streptomyces				Streptomyces coelicolor				140				3792				15				mesophilic								10C~37¢XC
652				1904				1883				Streptomyces				Streptomyces cyaneus				18				33				0				thermophilic								45¢XC
653				1905				1883				Streptomyces				Streptomyces exfoliatus				9				26				4				thermophilic								45¢XC
654				1906				1883				Streptomyces				Streptomyces fradiae				64				194				1				thermophilic								45¢XC
655				1907				1883				Streptomyces				Streptomyces glaucescens				36				126				0				thermophilic								45¢XC
656				1908				1883				Streptomyces				Streptomyces globisporus				15				92				4				mesophilic								26¢XC
657				1909				1883				Streptomyces				Streptomyces griseolus				5				14				0				mesophilic								26¢XC
658				1911				1883				Streptomyces				Streptomyces griseus				166				526				35				mesophilic								26¢XC
659				1912				1883				Streptomyces				Streptomyces hygroscopicus				119				246				1												
660				1913				1813				Amycolatopsis				Amycolatopsis lactamdurans				39				65				0												
661				1914				1883				Streptomyces				Streptomyces lavendulae				102				154				2				thermophilic								45¢XC
662				1915				1883				Streptomyces				Streptomyces lincolnensis				10				89				0												
663				1916				1883				Streptomyces				Streptomyces lividans				225				566				27												
664				1921				1883				Streptomyces				Streptomyces olivaceoviridis				12				66				11				thermophilic								45¢XC
665				1922				1883				Streptomyces				Streptomyces plicatus				6				23				14				mesophilic								26¢XC
666				1923				1883				Streptomyces				Streptomyces phaeochromogenes				7				25				0				thermophilic								45¢XC
667				1924				1883				Streptomyces				Streptomyces purpurascens				6				24				4				mesophilic								26¢XC
668				1925				1883				Streptomyces				Streptomyces ramocissimus				5				18				0												
669				1926				1883				Streptomyces				Streptomyces reticuli				9				25				0												
670				1927				1883				Streptomyces				Streptomyces rimosus				28				37				1				thermophilic								45¢XC
671				1928				1883				Streptomyces				Streptomyces rochei				29				327				0				thermophilic								45¢XC
672				1929				1883				Streptomyces				Streptomyces rubiginosus				3				27				19				mesophilic								26¢XC
673				1930				1883				Streptomyces				Streptomyces scabiei				137				30				3				mesophilic								26¢XC
674				1931				1883				Streptomyces				Streptomyces sp.				161				178				24												
675				1932				1883				Streptomyces				Streptomyces tendae				25				62				8				mesophilic								26¢XC
676				1935				1883				Streptomyces				Streptomyces violaceoruber				18				355				5												
677				1936				1883				Streptomyces				Streptomyces violaceus				10				20				0				mesophilic								26¢XC
678				1938				1883				Streptomyces				Streptomyces viridochromogenes				73				85				2				thermophilic								45¢XC
679				1944				1883				Streptomyces				Streptomyces halstedii				9				51				1				thermophilic				45¢XC				
680				1946				1883				Streptomyces				Streptomyces kasugaensis				10				29				0				mesophilic								26¢XC
681				1949				1883				Streptomyces				Streptomyces mycarofaciens				5				12				0												
682				1950				1883				Streptomyces				Streptomyces peucetius				43				100				0				mesophilic								26¢XC
683				1952				1883				Streptomyces				Streptomyces thermoviolaceus				18				37				0				mesophilic								37C~45¢XC
684				1961				1883				Streptomyces				Streptomyces virginiae				23				49				0				mesophilic								26¢XC
685				1963				1883				Streptomyces				Streptomyces olivochromogenes				4				18				9												
686				1971				1883				Streptomyces				Streptomyces noursei				31				50				0												
687				2006				147067				Thermobispora				Thermobispora bispora				16				6				0												
688				2020				2019				Thermomonospora				Thermomonospora curvata				9				13				0				thermophilic				45C~55¢XC				30C~53¢XC
689				2021				83677				Thermobifida				Thermobifida fusca				81				3022				9				thermophilic				50¢XC				35C~60¢XC
690				2026				2023				Thermoactinomyces				Thermoactinomyces vulgaris				17				61				18				thermophilic				55¢XC				
691				2039				2038				Tropheryma				Tropheryma whipplei				33				18				0												
692				2045				2044				Pimelobacter				Pimelobacter simplex				29				16				0												
693				2064				2063				Kitasatospora				Kitasatospora griseola				13				24				0				mesophilic								15C~37¢XC
694				2074				1847				Pseudonocardia				Pseudonocardia autotrophica				6				10				0				mesophilic								26¢XC
695				2094				2093				Mycoplasma				Mycoplasma arginini				22				12				2												
696				2095				33925				Entomoplasmataceae				Mycoplasma capricolum				410				481				2				mesophilic								37¢XC
697				2096				2093				Mycoplasma				Mycoplasma gallisepticum				150				377				0												
698				2097				2093				Mycoplasma				Mycoplasma genitalium				357				1352				2				mesophilic				37¢XC				
699				2098				2093				Mycoplasma				Mycoplasma hominis				254				326				0												
700				2099				2093				Mycoplasma				Mycoplasma hyopneumoniae				113				117				0				mesophilic								25C~37¢XC
701				2100				2093				Mycoplasma				Mycoplasma hyorhinis				43				64				0				mesophilic								37¢XC
702				2102				33925				Entomoplasmataceae				Mycoplasma mycoides				48				20				0				thermophilic				45¢XC				
703				2104				2093				Mycoplasma				Mycoplasma pneumoniae				113				1524				6				mesophilic				36C~38¢XC				36C~38¢XC
704				2105				2093				Mycoplasma				Mycoplasma sp. 'bovine group 7'				19				21				0												
705				2107				2093				Mycoplasma				Mycoplasma pulmonis				35				1798				0				mesophilic				37¢XC				
706				2108				2093				Mycoplasma				Mycoplasma sp.				20				18				1												
707				2109				2093				Mycoplasma				Mycoplasma synoviae				40				35				0				mesophilic								37¢XC
708				2110				2093				Mycoplasma				Mycoplasma agalactiae				80				68				0												
709				2111				2093				Mycoplasma				Mycoplasma arthritidis				96				29				1				mesophilic								37¢XC
710				2115				2093				Mycoplasma				Mycoplasma fermentans				66				142				0				mesophilic								37¢XC
711				2116				2093				Mycoplasma				Mycoplasma iowae				9				16				0				mesophilic				43¢XC				37¢XC
712				2121				2093				Mycoplasma				Mycoplasma orale				13				3				0												
713				2122				2093				Mycoplasma				Mycoplasma pirum				7				21				0				mesophilic								37¢XC
714				2124				2093				Mycoplasma				Mycoplasma salivarium				15				3				0												
715				2130				2129				Ureaplasma				Ureaplasma urealyticum				56				685				0				mesophilic				37¢XC				37¢XC
716				2133				2132				Spiroplasma				Spiroplasma citri				34				147				0				mesophilic				32¢XC				
717				2134				2132				Spiroplasma				Spiroplasma melliferum				5				12				0				mesophilic								30¢XC
718				2148				2147				Acholeplasma				Acholeplasma laidlawii				32				66				0				mesophilic				37¢XC				20C~41¢XC
719				2155				85635				unclassified phytoplasmas				Phytoplasma sp.				57				18				0												
720				2157				131567				cellular organisms				Archaea				0				1				1												
721				2158				183925				Methanobacteria				Methanobacteriales				0				0				0												
722				2159				2158				Methanobacteriales				Methanobacteriaceae				0				0				0												
723				2160				2159				Methanobacteriaceae				Methanobacterium				0				0				0												
724				2161				2160				Methanobacterium				Methanobacterium bryantii				11				10				0				mesophilic				37C~39¢XC				
725				2162				2160				Methanobacterium				Methanobacterium formicicum				67				21				0				mesophilic				37¢XC				25C~50¢XC
726				2163				2160				Methanobacterium				Methanobacterium ivanovii				4				17				0				thermophilic				45¢XC				15C~55¢XC
727				2164				2160				Methanobacterium				Methanobacterium sp.				8				1				0												
728				2171				2160				Methanobacterium				Methanobacterium palustre				2				1				0				mesophilic				33C~37¢XC				20C~45¢XC
729				2172				2159				Methanobacteriaceae				Methanobrevibacter				0				0				0												
730				2173				2172				Methanobrevibacter				Methanobrevibacter smithii				14				19				0				mesophilic				37C~39¢XC				30C~45¢XC
731				2174				2192				Methanocorpusculum				Metopus palaeformis endosymbiont				1				0				0												
732				2175				2206				Methanosarcinaceae				Methanohalophilus				0				0				0												
733				2176				2175				Methanohalophilus				Methanohalophilus mahii				8				22				0				mesophilic				30C~40¢XC				
734				2177				2175				Methanohalophilus				Methanohalophilus halophilus				4				2				0				mesophilic				30C~40¢XC				
735				2178				2158				Methanobacteriales				Methanothermaceae				0				0				0												
736				2179				2178				Methanothermaceae				Methanothermus				0				0				0												
737				2180				2179				Methanothermus				Methanothermus fervidus				24				94				6				thermophilic				83¢XC				
738				2181				2179				Methanothermus				Methanothermus sociabilis				4				7				0				hyperthermophilic				97¢XC				
739				2182				183939				Methanococci				Methanococcales				0				0				0												
740				2183				2182				Methanococcales				Methanococcaceae				0				0				0												
741				2184				2183				Methanococcaceae				Methanococcus				0				0				0												
742				2186				155862				Methanothermococcus				Methanothermococcus thermolithotrophicus				21				82				5				thermophilic				65¢XC				
743				2187				2184				Methanococcus				Methanococcus vannielii				31				175				0				mesophilic				35C~40¢XC				20C~40¢XC
744				2188				2184				Methanococcus				Methanococcus voltae				107				187				1				mesophilic				35C~40¢XC				20C~45¢XC
745				2189				196119				Methanotorris				Methanotorris igneus				10				7				0				hyperthermophilic				88¢XC				
746				2190				196118				Methanocaldococcus				Methanocaldococcus jannaschii				20				3693				71				hyperthermophilic				85¢XC				
747				2191				183939				Methanococci				Methanomicrobiales				0				0				0												
748				2192				88404				Methanocorpusculaceae				Methanocorpusculum				0				0				0												
749				2193				2192				Methanocorpusculum				Methanocorpusculum parvum				6				4				0				mesophilic				37¢XC				25C~44¢XC
750				2194				2191				Methanomicrobiales				Methanomicrobiaceae				0				0				0												
751				2195				2194				Methanomicrobiaceae				Methanogenium				0				0				0												
752				2196				2195				Methanogenium				Methanogenium sp.				0				1				0												
753				2197				2195				Methanogenium				Methanogenium cariaci				1				0				0				mesophilic				20¢XC				
754				2198				45989				Methanoculleus				Methanoculleus marisnigri				2				0				0				mesophilic				20C~25¢XC				15C~40¢XC
755				2199				2195				Methanogenium				Methanogenium organophilum				1				1				0				mesophilic				30C~35¢XC				<=39¢XC
756				2200				45989				Methanoculleus				Methanoculleus thermophilicus				4				3				1				thermophilic				55¢XC				
757				2201				81416				Methanofollis				Methanofollis liminatans				6				3				0				mesophilic				40¢XC				25C~45¢XC
758				2202				196137				Methanospirillaceae				Methanospirillum				0				0				0												
759				2203				2202				Methanospirillum				Methanospirillum hungatei				8				10				0				mesophilic				30C~37¢XC				
760				2204				2194				Methanomicrobiaceae				Methanomicrobium				0				0				0												
761				2205				2204				Methanomicrobium				Methanomicrobium mobile				3				1				0				mesophilic				40¢XC				25C~45¢XC
762				2206				94695				Methanosarcinales				Methanosarcinaceae				1				0				0												
763				2207				2206				Methanosarcinaceae				Methanosarcina				0				0				0												
764				2208				2207				Methanosarcina				Methanosarcina barkeri				2024				4078				4				mesophilic				37¢XC				
765				2209				2207				Methanosarcina				Methanosarcina mazei				59				514				0				mesophilic				30C~40¢XC				
766				2210				2207				Methanosarcina				Methanosarcina thermophila				23				99				9				thermophilic				50¢XC				35C~55¢XC
767				2213				2207				Methanosarcina				Methanosarcina sp.				3				0				0												
768				2214				2207				Methanosarcina				Methanosarcina acetivorans				10				407				0				mesophilic				35C~40¢XC				
769				2215				2207				Methanosarcina				Methanosarcina vacuolata				3				1				0				mesophilic				37C~40¢XC				
770				2220				2206				Methanosarcinaceae				Methanolobus				0				0				0												
771				2221				2220				Methanolobus				Methanolobus tindarius				5				13				0				mesophilic				37¢XC				10C~40¢XC
772				2222				143067				Methanosaetaceae				Methanosaeta				4				0				0												
773				2223				2222				Methanosaeta				Methanosaeta concilii				36				25				0				mesophilic				35¢XC				
774				2224				2222				Methanosaeta				Methanothrix thermophila				7				2				0				thermophilic				65¢XC				35C~75¢XC
775				2225				2206				Methanosarcinaceae				Methanococcoides				0				0				0												
776				2226				2225				Methanococcoides				Methanococcoides methylutens				4				9				0				mesophilic				30C~35¢XC				15C~35¢XC
777				2231				183980				Archaeoglobi				Archaeoglobales				0				0				0												
778				2232				2231				Archaeoglobales				Archaeoglobaceae				0				0				0												
779				2233				2232				Archaeoglobaceae				Archaeoglobus				0				0				0												
780				2234				2233				Archaeoglobus				Archaeoglobus fulgidus				128				3559				63				thermophilic				83¢XC				
781				2235				183963				Halobacteria				Halobacteriales				0				0				0												
782				2236				2235				Halobacteriales				Halobacteriaceae				0				0				0												
783				2237				2236				Halobacteriaceae				Haloarcula				1				1				0												
784				2238				2237				Haloarcula				Haloarcula marismortui				71				776				28				thermophilic				50C~53¢XC				
785				2239				2236				Halobacteriaceae				Halobacterium				0				3				0												
786				2242				2239				Halobacterium				Halobacterium salinarum				154				575				60				thermophilic				50¢XC				
787				2243				2239				Halobacterium				Halobacterium sp.				9				156				2												
788				2244				2239				Halobacterium				Halobacterium sp. AUS-1				2				1				0												
789				2246				2251				Haloferax				Haloferax volcanii				132				198				3				thermophilic				45¢XC				30C~55¢XC
790				2247				56688				Halorubrum				Halorubrum lacusprofundi				2182				0				0				mesophilic				31C~36¢XC				4C~40¢XC
791				2248				56688				Halorubrum				Halorubrum saccharovorum				11				16				0				thermophilic				50¢XC				
792				2249				2236				Halobacteriaceae				Halococcus				0				0				0												
793				2250				2249				Halococcus				Halococcus morrhuae				11				21				0				mesophilic				30C~37¢XC				
794				2251				2236				Halobacteriaceae				Haloferax				2				1				0												
795				2252				2251				Haloferax				Haloferax mediterranei				42				131				0				mesophilic				35C~37¢XC				25C~45¢XC
796				2253				2251				Haloferax				Haloferax sp.				0				9				0												
797				2254				2251				Haloferax				Haloferax lucentensis				18				46				0				mesophilic				37¢XC				30C~55¢XC
798				2256				2236				Halobacteriaceae				Natronobacterium				0				0				0												
799				2257				63743				Natronomonas				Natronomonas pharaonis				10				44				5				thermophilic				45¢XC				
800				2258				183968				Thermococci				Thermococcales				0				0				0												
801				2259				2258				Thermococcales				Thermococcaceae				0				0				0												
802				2260				2259				Thermococcaceae				Pyrococcus				0				2				0												
803				2261				2260				Pyrococcus				Pyrococcus furiosus				725				762				70				hyperthermophilic				100¢XC				
804				2262				2260				Pyrococcus				Pyrococcus woesei				28				73				7				hyperthermophilic				100C~103¢XC				<=105¢XC
805				2263				2259				Thermococcaceae				Thermococcus				0				5				0												
806				2264				2263				Thermococcus				Thermococcus celer				25				45				4				hyperthermophilic				88¢XC				<=93¢XC
807				2265				2263				Thermococcus				Thermococcus litoralis				36				105				11				hyperthermophilic				88¢XC				<=95¢XC
808				2266				183924				Thermoprotei				Thermoproteales				0				0				0												
809				2267				2266				Thermoproteales				Thermoproteaceae				0				0				0												
810				2268				114378				Thermofiliaceae				Thermofilum				0				0				0												
811				2269				2268				Thermofilum				Thermofilum pendens				2				6				0				hyperthermophilic				85C~90¢XC				
812				2270				2267				Thermoproteaceae				Thermoproteus				0				0				0												
813				2271				2270				Thermoproteus				Thermoproteus tenax				108				146				4				hyperthermophilic				88¢XC				85C~100¢XC
814				2272				114380				Desulfurococcales				Desulfurococcaceae				0				0				0												
815				2273				2272				Desulfurococcaceae				Desulfurococcus				1				1				0												
816				2274				2273				Desulfurococcus				Desulfurococcus mobilis				17				38				1				hyperthermophilic				85¢XC				
817				2275				2273				Desulfurococcus				Desulfurococcus mucosus				1				2				0				hyperthermophilic				85¢XC				<=97¢XC
818				2276				2267				Thermoproteaceae				Pyrobaculum				0				0				0												
819				2277				2276				Pyrobaculum				Pyrobaculum islandicum				9				11				0				hyperthermophilic				100¢XC				
820				2278				2276				Pyrobaculum				Pyrobaculum organotrophum				1				2				0				hyperthermophilic				102¢XC				
821				2279				2272				Desulfurococcaceae				Staphylothermus				0				0				0												
822				2280				2279				Staphylothermus				Staphylothermus marinus				9				16				1				hyperthermophilic				92¢XC				85C~100¢XC
823				2281				183924				Thermoprotei				Sulfolobales				0				0				0												
824				2283				12914				Acidianus				Acidianus ambivalens				26				156				2				thermophilic				80¢XC				
825				2284				118883				Sulfolobaceae				Sulfolobus				0				3				0												
826				2285				2284				Sulfolobus				Sulfolobus acidocaldarius				118				399				14				thermophilic				75¢XC				55C~85¢XC
827				2286				2284				Sulfolobus				Sulfolobus shibatae				33				77				2				thermophilic				81¢XC				>=50¢XC
828				2287				2284				Sulfolobus				Sulfolobus solfataricus				147				4155				66				hyperthermophilic				87¢XC				>=50¢XC
829				2288				2284				Sulfolobus				Sulfolobus sp.				14				75				1				thermophilic								>=50¢XC
830				2301				183967				Thermoplasmata				Thermoplasmatales				0				0				0												
831				2302				46659				Thermoplasmataceae				Thermoplasma				0				0				0												
832				2303				2302				Thermoplasma				Thermoplasma acidophilum				44				1952				27				thermophilic				59¢XC				40C~62¢XC
833				2307				114380				Desulfurococcales				Pyrodictiaceae				0				0				0												
834				2308				2307				Pyrodictiaceae				Pyrodictium				0				0				0												
835				2309				2308				Pyrodictium				Pyrodictium occultum				13				14				0				hyperthermophilic				105¢XC				82C~110¢XC
836				2312				2192				Methanocorpusculum				Trimyema sp. archaeal symbiont				2				0				0												
837				2314				2194				Methanomicrobiaceae				Methanoplanus				0				0				0												
838				2315				2314				Methanoplanus				Methanoplanus limicola				1				0				0				mesophilic				40¢XC				17C~41¢XC
839				2316				2159				Methanobacteriaceae				Methanosphaera				0				0				0												
840				2317				2316				Methanosphaera				Methanosphaera stadtmanae				6				9				0				mesophilic				36C~40¢XC				
841				2319				183713				Methanopyraceae				Methanopyrus				0				0				0												
